Time,x, y
2023-10-08 06:24:00,2023-10-08 06:24:53,9.99893
2023-10-08 06:25:00,,10.5989484
2023-10-08 06:26:00,,11.198966799999999
2023-10-08 06:27:00,,11.798985199999999
2023-10-08 06:28:00,,12.3990036
2023-10-08 06:29:00,,12.999022
2023-10-08 06:30:00,,13.5990404
2023-10-08 06:31:00,,14.1990588
2023-10-08 06:32:00,,14.7990772
2023-10-08 06:33:00,,15.399095599999999
2023-10-08 06:34:00,,15.999113999999999
2023-10-08 06:35:00,,16.5991324
2023-10-08 06:36:00,,17.199150799999998
2023-10-08 06:37:00,,17.799169199999998
2023-10-08 06:38:00,,18.399187599999998
2023-10-08 06:39:00,,18.999206
2023-10-08 06:40:00,,19.599224399999997
2023-10-08 06:41:00,,20.1992428
2023-10-08 06:42:00,,20.799261199999997
2023-10-08 06:43:00,,21.3992796
2023-10-08 06:44:00,,21.999297999999996
2023-10-08 06:45:00,,22.5993164
2023-10-08 06:46:00,,23.1993348
2023-10-08 06:47:00,,23.7993532
2023-10-08 06:48:00,,24.3993716
2023-10-08 06:49:00,2023-10-08 06:49:46,24.99939
2023-10-08 06:50:00,,25.599408399999998
2023-10-08 06:51:00,,26.199426799999998
2023-10-08 06:52:00,,26.799445199999997
2023-10-08 06:53:00,,27.399463599999997
2023-10-08 06:54:00,,27.999482
2023-10-08 06:55:00,,28.5995004
2023-10-08 06:56:00,,29.1995188
2023-10-08 06:57:00,,29.7995372
2023-10-08 06:58:00,,30.3995556
2023-10-08 06:59:00,,30.999574
2023-10-08 07:00:00,,31.5995924
2023-10-08 07:01:00,,32.1996108
2023-10-08 07:02:00,,32.7996292
2023-10-08 07:03:00,,33.3996476
2023-10-08 07:04:00,,33.999666000000005
2023-10-08 07:05:00,,34.5996844
2023-10-08 07:06:00,,35.1997028
2023-10-08 07:07:00,,35.7997212
2023-10-08 07:08:00,,36.399739600000004
2023-10-08 07:09:00,,36.999758
2023-10-08 07:10:00,,37.5997764
2023-10-08 07:11:00,,38.19979480000001
2023-10-08 07:12:00,,38.7998132
2023-10-08 07:13:00,,39.3998316
2023-10-08 07:14:00,2023-10-08 07:14:39,39.99985
